epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
174,235.237,1.70526,1.51487,1.20977,0.03448,0.00937,0.01905,0.00654,2.20516,1.41912,2.40979,0.000239465,0.000239465,0.000239465
175,236.523,1.88469,1.8446,1.48817,0.03614,0.00937,0.01981,0.00678,2.24934,1.41204,2.46735,0.000231213,0.000231213,0.000231213
176,237.841,2.191,2.78464,1.9493,0.03529,0.00937,0.01914,0.00655,2.32609,1.37931,2.59405,0.000222961,0.000222961,0.000222961
177,239.131,1.82534,1.32724,1.84682,0.03488,0.00937,0.0189,0.00643,2.35362,1.33591,2.65459,0.00021471,0.00021471,0.00021471
178,240.4,1.50324,1.55388,1.3431,0.03977,0.01094,0.02352,0.00531,2.35576,1.27745,2.73766,0.000206458,0.000206458,0.000206458
179,241.693,2.2449,2.24751,2.07551,0.03977,0.01094,0.02385,0.0062,2.35463,1.24923,2.75593,0.000198206,0.000198206,0.000198206
180,242.987,2.09119,2.81365,1.48354,0.02941,0.00937,0.01693,0.006,2.35427,1.19242,2.76952,0.000189955,0.000189955,0.000189955
181,244.302,1.76902,1.81246,1.70875,0.02857,0.00937,0.01657,0.00587,2.36451,1.17009,2.77702,0.000181703,0.000181703,0.000181703
182,245.626,1.56993,2.1769,1.55685,0.02804,0.00937,0.01636,0.00575,2.37023,1.16659,2.77712,0.000173451,0.000173451,0.000173451
183,246.925,1.72989,1.70501,1.61752,0.02857,0.00937,0.01669,0.00563,2.38825,1.19388,2.74691,0.0001652,0.0001652,0.0001652
184,248.207,1.40058,1.38346,1.20832,0.02804,0.00937,0.01553,0.00495,2.44351,1.23834,2.7334,0.000156948,0.000156948,0.000156948
185,249.511,2.01015,1.79192,1.64107,0.0297,0.00937,0.01627,0.00471,2.49755,1.23734,2.77671,0.000148696,0.000148696,0.000148696
186,250.803,1.86396,2.1097,1.93746,0.03191,0.00937,0.01744,0.00425,2.52581,1.25022,2.77704,0.000140445,0.000140445,0.000140445
187,252.133,2.00457,2.2101,1.98474,0.03529,0.00937,0.01895,0.00465,2.56474,1.24441,2.81191,0.000132193,0.000132193,0.000132193
188,253.459,2.01375,2.94631,1.92794,0.03448,0.00937,0.0186,0.00454,2.53542,1.2579,2.75398,0.000123941,0.000123941,0.000123941
